ioc,ioc_type,first_seen,last_seen,risk_score,sources,behaviour_tags,confidence_rating,target_countries,target_regions,target_industries,related_malware,related_threat_actors,is_whitelisted,common_tags
14.103.127.7,IPv4,1723961005,1778476060,89,"['CyberCure', 'Cyble Global Sensor (IP Feed)', 'Cyble Global Sensor Feed', 'IPsum', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'Sentinel Turris', 'VirusTotal', 'blocklist.de', 'blocklist.net.ua', 'dataplane.org', 'greensnow', 'jamesbrine', 'malwarefilter_botnet', 'stamparm', 'threat_view_ip']","['Blacklist', 'Blocklist', 'BruteForce', 'Bruteforce', 'KnownAttacker', 'Malicious', 'OSINT', 'Phishing', 'known attacker']",High,,,,,,False,
50.127.177.194,IPv4,1662854400,1778476015,100,"['CyberCure', 'Cyble Global Sensor Feed', 'Cyble Research Intelligence Labs', 'IPsum', 'Malware Patrol High Risk IPs', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'Sentinel Turris', 'VirusTotal', 'blocklist.de', 'blocklist.net.ua', 'dataplane.org', 'greensnow', 'malwarefilter_botnet', 'nuug.no', 'stamparm']","['Blacklist', 'Blocklist', 'BruteForce', 'Bruteforce', 'KnownAttacker', 'Malicious', 'Malware', 'OS: ELF', 'OS: WIN', 'OSINT', 'Password Guessing', 'PasswordGuessing', 'Phishing']",High,"['CN', 'IN', 'IT', 'KP', 'SG', 'TH', 'TW', 'US']","['Asia & Pacific (APAC)', 'Europe & UK', 'North America (NA)']","['Aerospace & Defense', 'Agriculture & Livestock', 'Automotive', 'BFSI', 'Chemicals', 'Construction', 'Consumer Goods', 'Critical Infrastructure', 'Education', 'Energy & Utilities', 'Food & Beverages', 'Government & LEA', 'Healthcare', 'Hospitality', 'IT & ITES', 'Manufacturing', 'Media & Entertainment', 'Metals Minerals & Mining', 'Organisation', 'Pharmaceuticals & Biotechnology', 'Professional Services', 'Real Estate', 'Retail', 'Technology', 'Telecommunication', 'Transportation & Logistics']","['Android RAT', 'Egregor', 'SamSam', 'WhiteRabbit']",,False,"Android RAT, SamSam, Egregor, WhiteRabbit"
49.247.36.49,IPv4,1736445840,1778476015,89,"['CyberCure', 'Cyble Global Sensor (IP Feed)', 'Cyble Global Sensor Feed', 'IPsum', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'VirusTotal', 'VirusTotal (IP Feed)', 'blocklist.de', 'blocklist.net.ua', 'dataplane.org', 'greensnow', 'jamesbrine', 'malwarefilter_botnet', 'stamparm']","['BadIP', 'Blacklist', 'Blocklist', 'BruteForce', 'Bruteforce', 'KnownAttacker', 'Malicious', 'OSINT', 'Phishing', 'known attacker']",High,,,,,,False,
49.247.37.22,IPv4,1733076370,1778476015,89,"['CISA', 'CyberCure', 'Cyble Global Sensor (IP Feed)', 'Cyble Global Sensor Feed', 'IPsum', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'VirusTotal', 'VirusTotal (IP Feed)', 'blocklist.de', 'blocklist.net.ua', 'dataplane.org', 'greensnow', 'jamesbrine', 'malwarefilter_botnet', 'stamparm']","['Blacklist', 'Blocklist', 'BruteForce', 'Bruteforce', 'KnownAttacker', 'Malicious', 'OSINT', 'Phishing', 'known attacker', 'malicious']",High,,,,,,False,
50.123.92.130,IPv4,1709755327,1778476015,94,"['CyberCure', 'Cyble Global Sensor Feed', 'IPsum', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'Sentinel Turris', 'VirusTotal', 'blocklist.de', 'blocklist.net.ua', 'dataplane.org', 'malwarefilter_botnet', 'masterdeb.de', 'stamparm', 'threat_view_ip']","['Blacklist', 'Blocklist', 'BruteForce', 'Bruteforce', 'Haas', 'HassLogged', 'KnownAttacker', 'Malicious', 'OSINT', 'Phishing', 'Smtp', 'Suspicious', 'known attacker']",High,['AU'],['Australia and New Zealand (ANZ)'],,,,False,
49.246.68.220,IPv4,1644833937,1778476015,89,"['CyberCure', 'Cyble Global Sensor Feed', 'Cyble Research Intelligence Labs', 'IPsum', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'VirusTotal', 'blocklist.de', 'blocklist.net.ua', 'greensnow', 'malwarefilter_botnet', 'masterdeb.de', 'nuug.no', 'stamparm']","['Blacklist', 'Blocklist', 'BruteForce', 'Bruteforce', 'KnownAttacker', 'Malicious', 'OSINT', 'Password Guessing', 'PasswordGuessing', 'Phishing']",High,,,,,,False,
50.39.73.186,IPv4,1649894491,1778476015,100,"['CyberCure', 'Cyble Global Sensor Feed', 'Cyble Research Intelligence Labs', 'IPsum', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'Sentinel Turris', 'VirusTotal', 'blocklist.de', 'blocklist.net.ua', 'dataplane.org', 'greensnow', 'malwarefilter_botnet', 'nuug.no', 'stamparm', 'threat_view_ip']","['Blacklist', 'Blocklist', 'BruteForce', 'Bruteforce', 'KnownAttacker', 'Malicious', 'Malware', 'OS: ELF', 'OS: WIN', 'OSINT', 'Password Guessing', 'PasswordGuessing', 'Phishing', 'known attacker']",High,['AU'],['Australia and New Zealand (ANZ)'],,"['Mirai', 'RDP']",,False,"Mirai, RDP"
5.11.168.173,IPv4,1699502750,1778476015,89,"['CyberCure', 'Cyble Global Sensor Feed', 'IPsum', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'Sentinel Turris', 'VirusTotal', 'blocklist.de', 'blocklist.net.ua', 'malwarefilter_botnet', 'masterdeb.de', 'nuug.no', 'stamparm', 'threat_view_ip']","['BadIP', 'Blacklist', 'Blocklist', 'BruteForce', 'Bruteforce', 'KnownAttacker', 'Malicious', 'OSINT', 'Password Guessing', 'PasswordGuessing', 'Phishing', 'Smtp', 'Suspicious', 'Telnet', 'known attacker']",High,,,,,,False,
185.246.188.149,IPv4,1710345624,1778475991,100,"['CyberCure', 'Cyble Research Intelligence Labs', 'Dan.me', 'IPsum', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'VirusTotal', 'blocklist.de', 'dataplane.org', 'jamesbrine', 'malwarefilter_botnet', 'sblam', 'stamparm', 'threat_view_ip']","['Blacklist', 'Blocklist', 'BruteForce', 'Bruteforce', 'Malicious', 'OSINT', 'Phishing', 'Spam', 'Tor Anonymity', 'Tor Exit Node']",High,['US'],['North America (NA)'],"['BFSI', 'Government & LEA']",['Tor'],,False,Tor
185.241.208.184,IPv4,1722404090,1778475991,99,"['Cyble Partner Feed', 'Dan.me', 'IPsum', 'Maltrail,VirusTotal', 'Malware Patrol Tor Exit Nodes', 'Monty Security', 'Open Source Intelligence Feed', 'ThreatFox', 'VirusTotal', 'urlhaus.abuse.ch']","['Blocklist', 'C2', 'Malicious', 'Malware', 'OS: WIN', 'OSINT', 'Tor Anonymity', 'Tor Exit Node']",High,,,,"['AsyncRAT', 'Cobalt Strike', 'Tor']",,False,"Tor, AsyncRAT, Cobalt Strike"
185.243.218.229,IPv4,1765713643,1778475991,99,"['Dan.me', 'Malware Patrol Tor Exit Nodes', 'Quentin McGaw qdm13', 'VirusTotal', 'sblam', 'threat_view_ip']","['Malicious', 'Malware', 'OSINT', 'Phishing', 'Spam', 'Tor Anonymity', 'Tor Exit Node']",High,,,,['Tor'],,False,Tor
185.227.68.78,IPv4,1601929211,1778475991,100,"['Cyble Research Intelligence Labs', 'Cymru', 'Dan.me', 'IPsum', 'Malware Patrol High Risk IPs', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'Snort', 'Talosintelligence', 'VirusTotal', 'malwarefilter_botnet', 'nuug.no', 'stamparm']","['Blocklist', 'Botnet', 'Bruteforce', 'Malicious', 'OSINT', 'Password Guessing', 'PasswordGuessing', 'Phishing', 'Tor Anonymity', 'Tor Exit Node']",High,"['CA', 'CZ', 'DE', 'DK', 'EE', 'FR', 'LT', 'LV', 'NO', 'PL', 'RO', 'TR', 'UA', 'US']","['Europe & UK', 'Middle East & Africa (MEA)', 'North America (NA)']","['Aerospace & Defense', 'Government & LEA']",['Tor'],,False,Tor
185.243.218.230,IPv4,1765713643,1778475991,99,"['Dan.me', 'Malware Patrol Tor Exit Nodes', 'Quentin McGaw qdm13', 'VirusTotal', 'sblam', 'threat_view_ip']","['Malicious', 'Malware', 'OSINT', 'Phishing', 'Spam', 'Tor Anonymity', 'Tor Exit Node']",High,,,,['Tor'],,False,Tor
